id,student_number,year,time_1,time_2,people,age,intrusiveness
624,0ccadc4385e2e0e1d25c581748bbd0bce81add15,31,17:01:00,17:04:00,40,4,1
625,2dac88111dfa0ceabcf9cdb35926cafbedb565d8,31,17:00:00,17:00:56,45,7,20
626,3d229c0a50e5342109b114173e52dc0bb9ae27ef,31,17:00:47,17:05:00,85,10,5
627,a345eeed710df734b6261ca281b153f513b42574,31,17:01:00,17:02:00,50,10,1
628,e40602b3fb3e5628269aeac48affe61256900d20,31,17:01:00,17:02:00,70,12,2
629,3855786bdf8946cd8d1aa875448ec5bcdce6e5d4,31,17:01:30,17:03:11,45,8,10
630,3cde891172dfd866aaabcf3b787774435d43fa93,31,17:01:29,17:09:25,70,14,13
631,3113e9594300fe594c0dfb0ac408796e9ac5de03,31,17:01:21,17:03:46,50,9,7
632,a027edb1f2fb20e10d8ffa0a6da8759aebcd60e5,31,17:00:00,17:01:00,55,11,16
633,f96a48ae6a836a731266b4a0583202a64cfd1b4c,31,17:00:00,17:10:00,90,12,15
634,6c95c5b53566f7df941138181e1475d30fbd7b39,31,17:01:11,17:03:52,60,14,13
635,1864d661de2657d36be2ab843debf86d96baaf4a,31,17:02:00,17:03:18,75,12,18
636,bb69e9a98b7650f01d40bd43789796c8730fc926,31,17:01:00,17:04:32,30,15,14
637,fe656848d9af436e1c7365b95e95e14dc302b6db,31,17:02:00,17:20:00,80,16,12
638,f2d1b7a7e0b67f4e79035840998aa392266a999b,31,17:01:00,17:05:00,90,14,10
639,217ede9095be278c114d5496bdcf42750d1655a0,32,09:57:00,09:59:00,50,10,8
640,f0bc1851c2b64232d60dc4c314cbe75aa6124e03,32,09:57:00,09:58:00,35,10,3
641,5d3f2d1bdee96f06f05e0bd32800c22f189cdadc,32,09:59:00,10:01:00,42,7,6
642,1b739756e31fe5ba805194713bc214bcce15d241,32,09:57:25,09:59:43,50,10,5
643,3c3a8482fc27025a7a5b384c4c17978713a354db,32,09:58:00,10:00:00,40,8,4
646,4fe76e2353ece57a4ee7069506b525597f8ee5e7,32,09:58:33,09:59:30,43,10,1
647,94ce33518a716eafad0819312c8bb34b9771759b,32,09:57:48,09:59:35,40,6,20
648,acac630af110626f8034fda62f21e7a22e9e8ff5,32,09:57:15,10:00:00,53,11,13
649,8e91128f8e24876b1bc2cc200d638634a922d50c,32,09:56:00,10:00:00,55,11,3
650,07d1833706f1dc12479c6e9738ea5e2b9f20fca0,32,09:58:00,10:00:00,40,8,3
651,1ff4a897d5fbb535f650f6d62a0d80bccc1f5f4b,32,09:57:35,10:01:00,50,9,13
652,0c8a50bdc21f90aa622ef8b29d15a1d54f581447,32,10:00:00,10:02:00,58,11,5
653,6f8c374e3a112b03a7cf944b0d6df68165c9db2a,32,09:57:00,10:00:00,60,10,5
654,589c587c17c520cb7f727f442b762693a32fddec,32,10:00:00,10:02:00,60,10,1
655,b612a2555644425ba02b913d648bb06671797f4e,32,09:57:00,09:59:00,10,8,11
656,4fd36a8ed8261fc6858273d10ff5cf1947efefa9,32,09:57:43,10:00:44,50,7,1
657,a9ea7d2eacb9faa6ce3756b865a1671df519e9b8,32,09:57:00,09:59:00,35,7,5
658,d29d0c0ce1013d57aee69748695906ae26eaddb7,32,09:57:00,10:00:00,40,10,5
659,44e2ba105b6063da000ad96bd21b8c74f253477c,32,10:03:01,10:03:59,40,10,1
660,6b99092afd7056af7e167ac33bf68841a9a11d0e,32,09:57:00,09:59:00,50,10,6
661,67c10457de73e85f1655179a43997d57e98a0832,32,09:56:50,09:59:20,50,10,3
662,bf8fc56a1b9cfc9192ad6430624a911cdacdb41b,32,09:57:00,09:58:00,50,10,4
